EquationName,Degree,Lambda,Alpha,MaxInteractions
FeynmanBonus1,3,0.1,1.0,2
FeynmanBonus10,4,0.001,1.0,2
FeynmanBonus11,4,0.01,1.0,2
FeynmanBonus12,5,1.0,0.5,3
FeynmanBonus13,1,1.0,0.5,2
FeynmanBonus14,5,1.0,1.0,3
FeynmanBonus15,1,0.01,1.0,2
FeynmanBonus16,4,0.1,0.0,2
FeynmanBonus17,1,1.0,0.0,2
FeynmanBonus19,1,1e-06,1.0,2
FeynmanBonus2,5,0.1,1.0,3
FeynmanBonus20,2,10.0,1.0,2
FeynmanBonus3,1,1e-07,1.0,2
FeynmanBonus4,5,1.0,0.0,3
FeynmanBonus5,1,1.0,0.0,2
FeynmanBonus6,4,10.0,1.0,3
FeynmanBonus7,5,1.0,0.5,2
FeynmanBonus9,5,10.0,0.0,3
FeynmanICh15Eq3t,1,1e-07,1.0,2
FeynmanICh29Eq16,5,0.01,0.5,3
FeynmanICh30Eq3,4,1e-07,0.5,2
FeynmanICh32Eq17,2,0.0001,0.0,2
FeynmanICh34Eq14,1,1e-07,1.0,2
FeynmanICh37Eq4,5,0.001,1.0,3
FeynmanICh39Eq22,1,10.0,0.0,2
FeynmanICh40Eq1,1,0.1,1.0,2
FeynmanICh41Eq16,3,1e-05,1.0,2
FeynmanICh44Eq4,3,0.01,0.5,2
FeynmanICh50Eq26,5,10.0,1.0,3
FeynmanICh6Eq20,4,1.0,0.0,2
FeynmanICh6Eq20a,4,0.1,0.0,2
FeynmanICh6Eq20b,2,1.0,0.0,2
FeynmanICh9Eq18,2,10.0,0.0,3
FeynmanIICh11Eq17,3,10.0,1.0,2
FeynmanIICh11Eq20,1,1e-07,0.0,2
FeynmanIICh11Eq27,3,0.0001,1.0,3
FeynmanIICh11Eq28,2,1e-07,0.0,2
FeynmanIICh13Eq23,1,0.001,0.0,2
FeynmanIICh13Eq34,1,1e-07,0.0,2
FeynmanIICh24Eq17,5,0.1,0.0,2
FeynmanIICh35Eq18,1,1e-05,1.0,2
FeynmanIICh35Eq21,3,0.1,0.0,3
FeynmanIICh36Eq38,1,1.0,0.0,2
FeynmanIICh6Eq15a,1,1e-07,0.0,2
FeynmanIICh6Eq15b,5,1.0,0.5,3
FeynmanIIICh10Eq19,4,0.1,1.0,3
FeynmanIIICh21Eq20,1,1e-07,0.0,2
FeynmanIIICh4Eq33,1,0.01,1.0,2
FeynmanIIICh9Eq52,5,0.01,0.0,2
