EquationName,Degree,Lambda,Alpha,MaxInteractions
FeynmanBonus1,2,10.0,0.0,2
FeynmanBonus10,2,0.1,1.0,2
FeynmanBonus11,2,0.01,1.0,2
FeynmanBonus12,2,1.0,1.0,2
FeynmanBonus13,2,0.1,1.0,2
FeynmanBonus14,2,10.0,0.5,2
FeynmanBonus15,2,1.0,0.5,2
FeynmanBonus16,2,1e-07,1.0,2
FeynmanBonus17,2,1.0,1.0,2
FeynmanBonus19,2,1e-07,0.0,2
FeynmanBonus2,2,0.1,1.0,2
FeynmanBonus20,2,10.0,1.0,2
FeynmanBonus3,2,0.01,1.0,2
FeynmanBonus4,2,1.0,0.0,2
FeynmanBonus5,2,0.1,0.5,2
FeynmanBonus6,2,10.0,1.0,4
FeynmanBonus7,2,1.0,0.5,2
FeynmanBonus9,2,10.0,0.0,2
