EquationName,DataSourceFile,DataTargetFile,EquationString,Degree,Lambda,Alpha,MaxInteractions,Runtime,Successful,RMSE_Training,RMSE_Test,RMSE_Full,R2_Training,R2_Test,R2_Full
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition8.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition8_d2_i2_l10_a0.csv,,2,10,0,2,0,False,1.7976931348623157E+308,1.7976931348623157E+308,1.7976931348623157E+308,-1.7976931348623157E+308,-1.7976931348623157E+308,-1.7976931348623157E+308
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition9.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition9_d2_i2_l10_a0.csv,1.5413214070525424E-12 + -7.355293786960613E-13 * ((x3 * 0.3183098861837907) -1) + 1.8036493587767972E-12 * (((x3 * 0.3183098861837907) -1)**2) + -3.751527178763809E-13 * ((x2 * 20202020202020204) -1.02020202020202) + 1.2356821549654189E-12 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 6.677381911069834E-13 * (((x2 * 20202020202020204) -1.02020202020202)**2) + 6.674351789108946E-13 * ((x1 * 0.2222222222222222) -1.2222222222222223) + -1.8216398662874434E-12 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -1.14245867928947E-12 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 9.057935236765805E-13 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + 4.31644335465824E-13 * ((x0 * 0.2222222222222222) -1.2222222222222223) + -1.147519202137966E-12 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -5.881178518756633E-13 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 9.609777578048828E-13 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + 3.648365285812416E-20 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,409,True,2.6711433220646998E-11,0.000740417619357513,0.0007400476879732635,0.05724857378451309,-1.1103483943841752E-05,-1.1092387340871923E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition1.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition1_d2_i2_l10_a0.csv,2.553743852750656E-16 + 6.601498403906307E-17 * ((x3 * 0.3183098861837907) -1) + 2.308447771731323E-16 * (((x3 * 0.3183098861837907) -1)**2) + -2.849814577593597E-17 * ((x2 * 20202020202020204) -1.02020202020202) + -8.828757672874179E-17 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 9.475913430748674E-18 * (((x2 * 20202020202020204) -1.02020202020202)**2) + -3.0550622337699064E-17 * ((x1 * 0.2222222222222222) -1.2222222222222223) + -1.2517358736376672E-16 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 3.9363653979929327E-17 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 2.2658757427666823E-17 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + 3.4924232215619426E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) + 7.610440114208817E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -3.8311217052106894E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 1.0359837095120533E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + -1.2651662034430076E-17 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,675,True,2.26082489225263E-15,0.0007404176193660937,0.0007400476879818399,0.048161145901047364,-1.1103507122189882E-05,-1.1092410474811132E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition7.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition7_d2_i2_l10_a0.csv,7.319472670316534E-15 + 2.7678301830033735E-15 * ((x3 * 0.3183098861837907) -1) + 6.913961681237818E-15 * (((x3 * 0.3183098861837907) -1)**2) + -1.464420925118663E-15 * ((x2 * 20202020202020204) -1.02020202020202) + -4.748984958584809E-15 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 2.197945246134118E-15 * (((x2 * 20202020202020204) -1.02020202020202)**2) + 2.8182814585141535E-15 * ((x1 * 0.2222222222222222) -1.2222222222222223) + 6.535056186195995E-15 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -4.2880137154094955E-15 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 3.2246356796452763E-15 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + 3.521463556044399E-15 * ((x0 * 0.2222222222222222) -1.2222222222222223) + 6.6548915958303E-15 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -4.1158080025103925E-15 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 4.5636739342879074E-15 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + 2.6593833455397615E-15 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,597,True,1.1320487591417949E-13,0.0007404176193659806,0.0007400476879817269,0.06376694416611228,-1.110350681687855E-05,-1.109241016994389E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition0.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition0_d2_i2_l10_a0.csv,7.043056589305053E-14 + -1.503724198423145E-14 * ((x3 * 0.3183098861837907) -1) + 6.524300965453843E-14 * (((x3 * 0.3183098861837907) -1)**2) + -1.3134021666198658E-14 * ((x2 * 20202020202020204) -1.02020202020202) + 2.6804457660324754E-14 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 2.130962252906072E-14 * (((x2 * 20202020202020204) -1.02020202020202)**2) + 8.75006211620562E-15 * ((x1 * 0.2222222222222222) -1.2222222222222223) + -3.469481953089464E-14 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -1.2061614076953928E-14 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 3.308095414333631E-21 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + -2.089608409025891E-15 * ((x0 * 0.2222222222222222) -1.2222222222222223) + 2.509419550101432E-14 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 4.915672942557204E-15 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + -1.3363138113841693E-14 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + 2.208122821127288E-21 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,654,True,8.566890724482373E-13,0.0007404176193656683,0.0007400476879814146,0.028735652872461714,-1.1103505972887007E-05,-1.1092409327062569E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition6.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition6_d2_i2_l10_a0.csv,3.090154793021319E-16 + 1.475328484402552E-17 * ((x3 * 0.3183098861837907) -1) + 4.754280970957162E-16 * (((x3 * 0.3183098861837907) -1)**2) + -9.84847225990794E-17 * ((x2 * 20202020202020204) -1.02020202020202) + -2.391769916260865E-17 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 2.0967746284464391E-16 * (((x2 * 20202020202020204) -1.02020202020202)**2) + -5.693800974567775E-17 * ((x1 * 0.2222222222222222) -1.2222222222222223) + -2.6414680387702657E-16 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 1.0895161088065019E-16 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 1.0420435675727683E-16 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + 3.347438030278009E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) + 4.784672070433826E-16 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -3.408530329146985E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + -2.7299220555430206E-16 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + 2.674477278312585E-16 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,518,True,4.9070649442643655E-15,0.0007404176193660922,0.0007400476879818382,0.07202432917983592,-1.1103507117971034E-05,-1.109241047037024E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition2.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition2_d2_i2_l10_a0.csv,1.1853522226414465E-17 + 5.298653050336542E-18 * ((x3 * 0.3183098861837907) -1) + 1.3969432361392867E-17 * (((x3 * 0.3183098861837907) -1)**2) + -2.686718173485052E-18 * ((x2 * 20202020202020204) -1.02020202020202) + -1.0322419536472644E-17 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 6.647400698847294E-18 * (((x2 * 20202020202020204) -1.02020202020202)**2) + 3.3819410309405947E-18 * ((x1 * 0.2222222222222222) -1.2222222222222223) + 9.378724620209004E-18 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -5.259804571291184E-18 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 3.572241272749083E-18 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + -1.2591624105236138E-18 * ((x0 * 0.2222222222222222) -1.2222222222222223) + -6.824002541813882E-18 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 2.3388365235934204E-18 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + -3.147534489264005E-18 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + -2.9336557635700562E-18 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,368,True,1.468568415677916E-16,0.0007404176193660958,0.0007400476879818419,0.06005244643177288,-1.1103507127740997E-05,-1.1092410480140202E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition3.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition3_d2_i2_l10_a0.csv,5.14622848269699E-09 + 2.1007992493180258E-09 * ((x3 * 0.3183098861837907) -1) + 5.222276911982137E-09 * (((x3 * 0.3183098861837907) -1)**2) + 1.8553845997387774E-10 * ((x2 * 20202020202020204) -1.02020202020202) + -1.8782961205460402E-09 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 3.507449722301967E-18 * (((x2 * 20202020202020204) -1.02020202020202)**2) + -5.935539422688046E-10 * ((x1 * 0.2222222222222222) -1.2222222222222223) + -2.6682839560029893E-09 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 3.885494555590156E-10 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 1.4070231327840922E-17 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + -1.3714029520128106E-09 * ((x0 * 0.2222222222222222) -1.2222222222222223) + -5.502178184125304E-09 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 1.223192862052374E-09 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 1.5308460972031919E-09 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + 1.6629326731763374E-09 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,536,True,7.038916015867976E-08,0.0007404175845635012,0.0007400476531999786,0.041257166476602936,-1.1009498073200064E-05,-1.0998472291134931E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition4.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition4_d2_i2_l10_a0.csv,4.205331927357912E-12 + 1.9842594926959172E-12 * ((x3 * 0.3183098861837907) -1) + 5.424197168071743E-12 * (((x3 * 0.3183098861837907) -1)**2) + -1.1281931569161315E-12 * ((x2 * 20202020202020204) -1.02020202020202) + -3.0249440212785283E-12 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 2.592405781967885E-12 * (((x2 * 20202020202020204) -1.02020202020202)**2) + -1.2883296616517788E-12 * ((x1 * 0.2222222222222222) -1.2222222222222223) + -4.17592722068306E-12 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 2.4953774492605114E-12 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 1.403701799784617E-12 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + -1.012964681038525E-12 * ((x0 * 0.2222222222222222) -1.2222222222222223) + -3.644013062215415E-12 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 1.650900379365144E-12 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 2.833844017853298E-12 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + 7.679816309987877E-18 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,670,True,1.0722207069645366E-10,0.0007404176193208699,0.0007400476879366384,0.031776830744005724,-1.110338496324026E-05,-1.1092288488390167E-05
FeynmanBonus1,D:\src\SCR-Benchmark-SCPR\experiments\repeated_best_degree2_data\FeynmanBonus1\FeynmanBonus1_sample_size100_noise_level0_repetition5.csv,.\experiments\results\degree2_config_individual_files\FeynmanBonus1_sample_size100_noise_level0_repetition5_d2_i2_l10_a0.csv,2.8169396397767015E-15 + 3.501454322150106E-16 * ((x3 * 0.3183098861837907) -1) + 2.0660527876714183E-15 * (((x3 * 0.3183098861837907) -1)**2) + -2.52510416286056E-16 * ((x2 * 20202020202020204) -1.02020202020202) + -3.702148092464908E-16 * ((x2 * 20202020202020204) -1.02020202020202) * ((x3 * 0.3183098861837907) -1) + 2.1176712410152802E-16 * (((x2 * 20202020202020204) -1.02020202020202)**2) + 4.620076529447158E-16 * ((x1 * 0.2222222222222222) -1.2222222222222223) + 1.3730965125126498E-15 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + -5.349073934711654E-16 * ((x1 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + -2.518247836321736E-16 * (((x1 * 0.2222222222222222) -1.2222222222222223)**2) + 3.209368212146996E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) + 6.741589769056039E-16 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x3 * 0.3183098861837907) -1) + 5.369069123086604E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x2 * 20202020202020204) -1.02020202020202) + 8.281007789905914E-17 * ((x0 * 0.2222222222222222) -1.2222222222222223) * ((x1 * 0.2222222222222222) -1.2222222222222223) + -7.589183462807286E-16 * (((x0 * 0.2222222222222222) -1.2222222222222223)**2),2,10,0,2,331,True,2.3529979375224835E-14,0.0007404176193660732,0.0007400476879818193,0.03273494719818015,-1.1103507066900775E-05,-1.1092410419077936E-05
